    41   -1  2  0  2  0   0  0  0  0  0  0  0  0   0       2.3540592   0.120171   0.002960     0.023729446653  -179.808559475746  -165.750331040914
    42   -1  2  0  0  0   0  0  0  0  0  0  0  0   0       2.1170767   0.107723   0.002696  -179.995181498289    -0.217461291706   -14.536735993109
    43   -2 -1  0  4  0   0  0  0  0  0  0  0  0   0       1.8970524   0.047817   0.001810  -179.999861169276     0.212379072075    30.793854498227
    44   -2  0  0  1  0   0  0  0  0  0  0  0  0   0       1.7385955   0.000241   0.000448  -179.998960659564   -28.715262306493   -89.282461225947
    45    0 -1  0  4  0   0  0  0  0  0  0  0  0   0       1.5713807   0.039543   0.002084   179.997837503967     0.619547888961    51.308790268443
    46    1  0  0  4  0   0  0  0  0  0  0  0  0   0       1.4225407   0.000312   0.001648   179.999381691116   139.161423497072    89.331202330146
    47    0  0  0  3  0   0  0  0  0  0  0  0  0   0       1.4189009   0.000306   0.000976   179.999847061847    20.788808258102    89.077448470767
    48    1  2  0  0  0   0  0  0  0  0  0  0  0   0       1.1656324   0.059360   0.001483     0.009777510669  -179.906171491782  -166.184010869055
    49    4  0  0  0  0   0  0  0  0  0  0  0  0   0       1.1169262   0.000000   0.001086   179.998067329251    89.062688507270    89.284879270065
    50    0  2  0  0  0   0  0  0  0  0  0  0  0   0       1.0657653   0.054243   0.001314     0.014555451777   179.953757726746  -179.919990652479
    51   -1  0  0  2  0   0  0  2  0 -2  0  0  0   0       1.0585975   0.000337   0.000226     0.118119821683  -172.704499594180   -90.306324258179
    52    1  1  0  1  0   0  0  0  0  0  0  0  0   0       0.9333847   0.023562   0.000910   179.996423935437     0.371262289462    32.809470160050
    53   -2  0  0  3  0   0  0  0  0  0  0  0  0   0       0.8624504   0.000000   0.000173     0.000874018334   167.387488983180   -90.601908608611
    54   -1  1  0  1  0   0  0  0  0  0  0  0  0   0       0.8513000   0.021475   0.000695    -0.001625060148   179.966733142515   178.697814464122
    55    2 -1  0  2  0   0  0  0  0  0  0  0  0   0       0.8487952   0.021401   0.001147   179.996817265526     0.719938744741    52.106894065978
    56    0  0 -2  1  0   0  0  0  0  0  0  0  0   0       0.7956418   0.000000   0.000186  -179.999130407548   -61.974869330167   -89.757255656107
    57   -4  0  0  2  0   0  0  0  0  0  0  0  0   0       0.7785483   0.000000   0.000401     0.001870323417   103.437700184571    90.453084212487
    58   -2  0  2  2  0   0  0  0  0  0  0  0  0   0       0.7740178   0.000000   0.000336     0.000015077752   -13.961837940483   -90.282382865283
    59   -3  0  1  3  0   0 -4  9  0  0  0  0  0   0       0.6739196   0.244865   0.045327    38.548945074260   114.817375435578   115.388121007006
    60    1  0 -2  0  0   0  0  0  0  4  0  0  0   0       0.7228435   0.090696   0.045525  -102.894871038530   141.250440233658   142.354964535109
